FIPSCode,LocationType,Location,AgeGroup,Gender,TimeFrame,DataFormat,Data
0,Nation,United States,Ages 6_10,Male,2001,Number,"10,518,481"
0,Nation,United States,Ages 6_10,Male,2002,Number,"10,383,060"
0,Nation,United States,Ages 6_10,Male,2003,Number,"10,239,112"
0,Nation,United States,Ages 6_10,Male,2004,Number,"10,119,018"
0,Nation,United States,Ages 6_10,Male,2005,Number,"10,049,126"
0,Nation,United States,Ages 6_10,Male,2006,Number,"10,030,587"
0,Nation,United States,Ages 6_10,Male,2007,Number,"10,118,218"
0,Nation,United States,Ages 6_10,Male,2008,Number,"10,219,189"
0,Nation,United States,Ages 6_10,Male,2009,Number,"10,342,564"
0,Nation,United States,Ages 6_10,Male,2010,Number,"10,446,231"
0,Nation,United States,Ages 6_10,Male,2011,Number,"10,405,319"
0,Nation,United States,Ages 6_10,Male,2012,Number,"10,407,449"
0,Nation,United States,Ages 6_10,Male,2013,Number,"10,479,983"
0,Nation,United States,Ages 6_10,Male,2014,Number,"10,535,941"
0,Nation,United States,Ages 6_10,Male,2015,Number,"10,512,878"
0,Nation,United States,Ages 6_10,Male,2016,Number,"10,496,177"
0,Nation,United States,Ages 6_10,Male,2017,Number,"10,476,824"
0,Nation,United States,Ages 6_10,Male,2018,Number,"10,410,819"
0,Nation,United States,Ages 6_10,Male,2019,Number,"10,346,569"
0,Nation,United States,Ages 6_10,Male,2020,Number,"10,353,570"
0,Nation,United States,Ages 6_10,Male,2021,Number,"10,347,738"
0,Nation,United States,Ages 6_10,Total,1995,Number,"19,257,409"
0,Nation,United States,Ages 6_10,Total,1996,Number,"19,672,780"
0,Nation,United States,Ages 6_10,Total,1997,Number,"20,109,339"
0,Nation,United States,Ages 6_10,Total,1998,Number,"20,505,847"
0,Nation,United States,Ages 6_10,Total,1999,Number,"20,755,804"
0,Nation,United States,Ages 6_10,Total,2000,Number,"20,814,558"
0,Nation,United States,Ages 6_10,Total,2001,Number,"20,540,578"
0,Nation,United States,Ages 6_10,Total,2002,Number,"20,279,046"
0,Nation,United States,Ages 6_10,Total,2003,Number,"20,002,325"
0,Nation,United States,Ages 6_10,Total,2004,Number,"19,776,581"
0,Nation,United States,Ages 6_10,Total,2005,Number,"19,646,061"
0,Nation,United States,Ages 6_10,Total,2006,Number,"19,615,211"
0,Nation,United States,Ages 6_10,Total,2007,Number,"19,796,840"
0,Nation,United States,Ages 6_10,Total,2008,Number,"19,998,985"
0,Nation,United States,Ages 6_10,Total,2009,Number,"20,245,324"
